Date,AAPL,^GSPC
2020-12-31,132.69000244140625,3756.070068359375
2021-01-04,129.41000366210938,3700.64990234375
2021-01-05,131.00999450683594,3726.860107421875
2021-01-06,126.5999984741211,3748.139892578125
2021-01-07,130.9199981689453,3803.7900390625
2021-01-08,132.0500030517578,3824.679931640625
2021-01-11,128.97999572753906,3799.610107421875
2021-01-12,128.8000030517578,3801.18994140625
2021-01-13,130.88999938964844,3809.840087890625
2021-01-14,128.91000366210938,3795.5400390625
2021-01-15,127.13999938964844,3768.25
2021-01-19,127.83000183105469,3798.909912109375
2021-01-20,132.02999877929688,3851.85009765625
2021-01-21,136.8699951171875,3853.070068359375
2021-01-22,139.07000732421875,3841.469970703125
2021-01-25,142.9199981689453,3855.360107421875
2021-01-26,143.16000366210938,3849.6201171875
2021-01-27,142.05999755859375,3750.77001953125
2021-01-28,137.08999633789062,3787.3798828125
2021-01-29,131.9600067138672,3714.239990234375
2021-02-01,134.13999938964844,3773.860107421875
2021-02-02,134.99000549316406,3826.31005859375
2021-02-03,133.94000244140625,3830.169921875
2021-02-04,137.38999938964844,3871.739990234375
2021-02-05,136.75999450683594,3886.830078125
2021-02-08,136.91000366210938,3915.590087890625
2021-02-09,136.00999450683594,3911.22998046875
2021-02-10,135.38999938964844,3909.8798828125
2021-02-11,135.1300048828125,3916.3798828125
2021-02-12,135.3699951171875,3934.830078125
2021-02-16,133.19000244140625,3932.590087890625
2021-02-17,130.83999633789062,3931.330078125
2021-02-18,129.7100067138672,3913.969970703125
2021-02-19,129.8699951171875,3906.7099609375
2021-02-22,126.0,3876.5
2021-02-23,125.86000061035156,3881.3701171875
2021-02-24,125.3499984741211,3925.429931640625
2021-02-25,120.98999786376953,3829.340087890625
2021-02-26,121.26000213623047,3811.14990234375
2021-03-01,127.79000091552734,3901.820068359375
2021-03-02,125.12000274658203,3870.2900390625
2021-03-03,122.05999755859375,3819.719970703125
2021-03-04,120.12999725341797,3768.469970703125
2021-03-05,121.41999816894531,3841.93994140625
2021-03-08,116.36000061035156,3821.35009765625
2021-03-09,121.08999633789062,3875.43994140625
2021-03-10,119.9800033569336,3898.81005859375
2021-03-11,121.95999908447266,3939.340087890625
2021-03-12,121.02999877929688,3943.340087890625
2021-03-15,123.98999786376953,3968.93994140625
2021-03-16,125.56999969482422,3962.7099609375
2021-03-17,124.76000213623047,3974.1201171875
2021-03-18,120.52999877929688,3915.4599609375
2021-03-19,119.98999786376953,3913.10009765625
2021-03-22,123.38999938964844,3940.590087890625
2021-03-23,122.54000091552734,3910.52001953125
2021-03-24,120.08999633789062,3889.139892578125
2021-03-25,120.58999633789062,3909.52001953125
2021-03-26,121.20999908447266,3974.5400390625
2021-03-29,121.38999938964844,3971.090087890625
2021-03-30,119.9000015258789,3958.550048828125
2021-03-31,122.1500015258789,3972.889892578125
2021-04-01,123.0,4019.8701171875
2021-04-05,125.9000015258789,4077.909912109375
2021-04-06,126.20999908447266,4073.93994140625
2021-04-07,127.9000015258789,4079.949951171875
2021-04-08,130.36000061035156,4097.169921875
2021-04-09,133.0,4128.7998046875
2021-04-12,131.24000549316406,4127.990234375
2021-04-13,134.42999267578125,4141.58984375
2021-04-14,132.02999877929688,4124.66015625
2021-04-15,134.5,4170.419921875
2021-04-16,134.16000366210938,4185.47021484375
2021-04-19,134.83999633789062,4163.259765625
2021-04-20,133.11000061035156,4134.93994140625
2021-04-21,133.5,4173.419921875
2021-04-22,131.94000244140625,4134.97998046875
2021-04-23,134.32000732421875,4180.169921875
2021-04-26,134.72000122070312,4187.6201171875
2021-04-27,134.38999938964844,4186.72021484375
2021-04-28,133.5800018310547,4183.18017578125
2021-04-29,133.47999572753906,4211.47021484375
2021-04-30,131.4600067138672,4181.169921875
2021-05-03,132.5399932861328,4192.66015625
2021-05-04,127.8499984741211,4164.66015625
2021-05-05,128.10000610351562,4167.58984375
2021-05-06,129.74000549316406,4201.6201171875
2021-05-07,130.2100067138672,4232.60009765625
2021-05-10,126.8499984741211,4188.43017578125
2021-05-11,125.91000366210938,4152.10009765625
2021-05-12,122.7699966430664,4063.0400390625
2021-05-13,124.97000122070312,4112.5
2021-05-14,127.44999694824219,4173.85009765625
2021-05-17,126.2699966430664,4163.2900390625
2021-05-18,124.8499984741211,4127.830078125
2021-05-19,124.69000244140625,4115.68017578125
2021-05-20,127.30999755859375,4159.1201171875
2021-05-21,125.43000030517578,4155.85986328125
2021-05-24,127.0999984741211,4197.0498046875
2021-05-25,126.9000015258789,4188.1298828125
2021-05-26,126.8499984741211,4195.990234375
2021-05-27,125.27999877929688,4200.8798828125
2021-05-28,124.61000061035156,4204.10986328125
2021-06-01,124.27999877929688,4202.0400390625
2021-06-02,125.05999755859375,4208.1201171875
2021-06-03,123.54000091552734,4192.85009765625
2021-06-04,125.88999938964844,4229.89013671875
2021-06-07,125.9000015258789,4226.52001953125
2021-06-08,126.73999786376953,4227.259765625
2021-06-09,127.12999725341797,4219.5498046875
2021-06-10,126.11000061035156,4239.18017578125
2021-06-11,127.3499984741211,4247.43994140625
2021-06-14,130.47999572753906,4255.14990234375
2021-06-15,129.63999938964844,4246.58984375
2021-06-16,130.14999389648438,4223.7001953125
2021-06-17,131.7899932861328,4221.85986328125
2021-06-18,130.4600067138672,4166.4501953125
2021-06-21,132.3000030517578,4224.7900390625
2021-06-22,133.97999572753906,4246.43994140625
2021-06-23,133.6999969482422,4241.83984375
2021-06-24,133.41000366210938,4266.490234375
2021-06-25,133.11000061035156,4280.7001953125
2021-06-28,134.77999877929688,4290.60986328125
